Plant ID;Genotype ID;Days to budding;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue
ARG0226;ARG0226N;128;32,23672827;3,404;41,844;12,29095549;330,612;4721,9328;52,3248;70,3584;109,9824;112,5216;118,3176;1,681641424;1,5993;2,1019;2,2833;0,1146;0,2041;0,3261;0,454;0,7278;0,5701;0,6528;0,8601;1,3548;0,497;218,004;0,424125245;0,30948056;0,266394195
ARG0227;ARG0227;117;29,86274955;2,928285237;42,06773527;14,36599643;401,9016;7582,176;72,3888;86,6136;128,5248;140,9712;140,7264;1,624761008;1,6276;1,7754;2,0001;0,0996;0,185;0,3454;0,4314;0,6723;0,7004;0,8117;0,8661;1,5645;0,3569;233,734;0,421201023;0,314596935;0,264202042
ARG0228;ARG0228;128;42,89956332;3,154946153;39,39107438;12,48549816;319,3056;5092,7616;55,1184;71,8824;112,776;115,824;115,32;1,604287002;1,6113;2,0461;1,8866;0,1069;0,1939;0,3307;0,5155;0,7113;0,7648;0,8832;0,87;1,9121;0,3698;230,596;0,413901369;0,314068761;0,27202987
ARG0229;ARG0229;117;31,4593777;3,689630977;42,18889315;11,43444789;316,2456;4193,1072;48,5136;62,7384;96,7752;109,9824;115,3272;1,83822348;1,753;1,9948;1,9012;0,1028;0,2149;0,32;0,4563;0,673;0,4815;0,5622;0,8421;1,1429;0,5425;199,581;0,432616331;0,310771065;0,256612603
ARG0230;ARG0230N;124;25,36589517;2,483;41,656;16,77379241;312,4824;4292,64;43,1808;63,7536;103,3776;114,0456;117,0888;1,836583346;1,7888;2,3941;2,6644;0,1185;0,2455;0,3113;0,53;0,7253;0,6652;0,7661;0,8817;2,1912;0,5216;236,358;0,419930783;0,31654101;0,263528207
ARG0231;ARG0231;110;32,63326821;3,481721686;41,84928619;12,01971035;355,5504;6734,88;66,8016;85,344;125,9832;125,9832;130,7928;1,532536558;1,4762;1,8859;1,9142;0,0993;0,1628;0,3534;0,4987;0,7088;0,7758;0,8668;0,8848;1,8113;0,3875;214,834;0,423927311;0,318180549;0,25789214
ARG0232;ARG0232;108;19,53966314;2,618433233;42,14234101;16,09448753;380,0928;8285,8176;92,4552;101,0928;113,5392;122,6808;127,3032;1,25927069;1,2136;1,228;1,3616;0,0808;0,0953;0,3948;0,3453;0,6534;0,7095;0,855;0,8837;1,1477;0,3767;246,794;0,389632649;0,314148642;0,296218709
ARG0233;ARG0233;105;29,97352839;2,7207542;41,47745265;15,2448364;330,78;4956,7104;48,768;67,8192;122,4288;125,9832;128,5968;1,896170996;1,8577;2,5104;2,5534;0,121;0,2464;0,3028;0,5117;0,6935;0,7758;0,9231;0,8807;2,5263;0,4033;222,527;0,424200209;0,325084147;0,250715643
ARG0234;ARG0234;117;28,17512752;2,719377005;42,26255021;15,54126189;376,1016;6681,4272;70,3584;86,868;120,9048;125,2224;130,3632;1,500704517;1,4415;1,7184;1,82;0,1046;0,1618;0,3317;0,465;0,6792;0,748;0,8762;0,8598;1,4375;0,2855;248,643;0,394919624;0,315315533;0,289764844
ARG0235;ARG0235;114;27,47113503;2,98807984;40,28830653;13,48300872;368,0136;6468,5952;61,7232;81,7872;128,2704;134,6208;132,0432;1,61447268;1,646;2,0782;2,0794;0,1133;0,2041;0,3097;0,4826;0,7013;0,741;0,9311;0,8578;1,9029;0,3674;231,983;0,425664812;0,315682615;0,258652574
ARG0236;ARG0236;110;25,52365864;2,490451032;40,68778289;16,33751572;386,8728;6959,7504;60,1968;86,3592;129,54;135,1272;138,8904;1,608287247;1,5647;2,1519;2,2137;0,1169;0,2057;0,3267;0,5664;0,7504;0,7533;0,8696;0,883;1,9231;0,3943;234,767;0,408285662;0,323840233;0,267874105
ARG0237;ARG0237;123;NA;3,266410941;39,96841016;12,23618549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARG0238;ARG0238;104;24,64034603;2,887771231;38,9756821;13,49680393;379,9968;7710,9696;71,8824;90,1704;134,6208;135,8904;137,5056;1,524952756;1,507;1,8728;1,8281;0,1023;0,1689;0,3558;0,5368;0,7225;0,794;0,8926;0,8889;1,8761;0,3703;203,127;0,406907994;0,31455198;0,278540027
ARG0239;ARG0239;124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARG0240;ARG0240;118;25,17231763;3,45925362;39,39578397;11,38852143;451,212;9878,3424;82,296;108,9672;147,0648;153,4152;153,8976;1,412329582;1,4079;1,787;1,884;0,1184;0,1659;0,31;0,4747;0,7061;0,6534;0,7476;0,8854;1,4485;0,4503;218,537;0,404471554;0,305252657;0,290275789
ARG0241;ARG0241;97;38,03405906;3,822652389;42,21141569;11,04244158;464,544;10162,944;77,9784;105,9168;151,6368;159,2568;161,7;1,52666999;1,5036;1,9446;2,0804;0,1092;0,1829;0,3531;0,5302;0,7278;0,6773;0,7667;0,8815;1,6825;0,4673;202,338;0,44056974;0,314755508;0,244674752
ARG0242;ARG0242;119;33,81363829;3,801808371;43,1894344;11,36023444;444,5352;9196,8768;86,1072;107,6952;137,16;140,9712;146,3016;1,358478372;1,309;1,5929;1,6057;0,1191;0,1419;0,3555;0,5054;0,6893;0,7798;0,8907;0,9019;1,4694;0,3002;222,75;0,41627385;0,30698541;0,276740741
ARG0243;ARG0243;119;25,00476372;2,817611239;41,19709611;14,6212847;379,3752;7558,56;80,5176;95,2512;119,3808;122,1744;139,1352;1,460718605;1,2827;1,4826;1,5316;0,0972;0,1208;0,3659;0,4748;0,6673;0,7333;0,8341;0,8844;1,3643;0,3912;249,985;0,400756045;0,310370622;0,288873332
ARG0244;ARG0244;117;23,07395626;3,202286948;40,29270851;12,58247907;569,7216;13370,3424;106,1712;134,8728;154,6848;167,1312;178,6344;1,324465719;1,2392;1,4569;1,5639;0,128;0,1498;0,3354;0,4886;0,6598;0,758;0,8557;0,9005;1,3459;0,3017;251,975;0,40302411;0,317464034;0,279511856
ARG0245;ARG0245;118;31,5623069;3,090200622;39,95244112;12,92875318;402,1608;7061,0688;65,7864;84,8352;128,7792;140,208;141,9168;1,672852778;1,6527;1,9575;2,1004;0,1104;0,2078;0,312;0,4989;0,7101;0,6352;0,7338;0,8772;1,5766;0,4424;227,856;0,410996419;0,31124921;0,277754371
ARG0246;ARG0246;114;20,99686293;2,454440597;38,42085764;15,65361072;458,0184;10023,6672;83,0592;102,3624;148,5912;157,7352;161,016;1,572999461;1,5409;1,789;1,9148;0,107;0,1813;0,3629;0,5141;0,6912;0,7161;0,8237;0,8862;1,6818;0,4075;247,679;0,393295354;0,318347539;0,288357107
ARG0247;ARG0247;123;25,91810205;3,388928487;41,44360124;12,22911649;316,6128;4593,6;63,2472;73,4064;104,6472;108,204;109,0128;1,485058524;1,474;1,6546;1,967;0,1164;0,1672;0,3096;0,3784;0,6245;0,5929;0,672;0,863;1,1776;0,4051;237,681;0,400730391;0,311745575;0,287524034
