ID,flower,leafbottom,leaftop,plantside,planttop,primarybranch,seed,leafstrip
ARG0089,nan,ARG0089_leafbottom,ARG0089_leaftop,ARG0089_plantside,ARG0089_planttop,ARG0089_primarybranch,nan,ARG0089_leafstrip
ARG0090,nan,ARG0090_leafbottom,ARG0090_leaftop,ARG0090_plantside,ARG0090_planttop,ARG0090_primarybranch,nan,ARG0090_leafstrip
ARG0091,nan,ARG0091_leafbottom,ARG0091_leaftop,ARG0091_plantside,ARG0091_planttop,ARG0091_primarybranch,nan,ARG0091_leafstrip
ARG0092,nan,ARG0092_leafbottom,ARG0092_leaftop,ARG0092_plantside,ARG0092_planttop,ARG0092_primarybranch,nan,ARG0092_leafstrip
ARG0093,nan,ARG0093_leafbottom,ARG0093_leaftop,ARG0093_plantside,nan,ARG0093_primarybranch,nan,ARG0093_leafstrip
ARG0094,nan,ARG0094_leafbottom,ARG0094_leaftop,ARG0094_plantside,nan,ARG0094_primarybranch,nan,ARG0094_leafstrip
ARG0095,nan,ARG0095_leafbottom,ARG0095_leaftop,ARG0095_plantside,ARG0095_planttop,ARG0095_primarybranch,nan,ARG0095_leafstrip
ARG0096,nan,ARG0096_leafbottom,ARG0096_leaftop,ARG0096_plantside,ARG0096_planttop,ARG0096_primarybranch,nan,ARG0096_leafstrip
ARG0097,nan,ARG0097_leafbottom,ARG0097_leaftop,ARG0097_plantside,ARG0097_planttop,ARG0097_primarybranch,nan,ARG0097_leafstrip
ARG0098,nan,nan,nan,ARG0098_plantside,ARG0098_planttop,ARG0098_primarybranch,nan,nan
ARG0099,nan,ARG0099_leafbottom,ARG0099_leaftop,ARG0099_plantside,ARG0099_planttop,nan,nan,ARG0099_leafstrip
ARG0100,nan,ARG0100_leafbottom,ARG0100_leaftop,ARG0100_plantside,ARG0100_planttop,ARG0100_primarybranch,nan,ARG0100_leafstrip
ARG0101,nan,nan,nan,ARG0101_plantside,ARG0101_planttop,ARG0101_primarybranch,nan,nan
ARG0102,nan,nan,nan,ARG0102_plantside,ARG0102_planttop,nan,nan,nan
ARG0103,nan,ARG0103_leafbottom,ARG0103_leaftop,ARG0103_plantside,ARG0103_planttop,ARG0103_primarybranch,nan,ARG0103_leafstrip
ARG0104,nan,ARG0104_leafbottom,ARG0104_leaftop,ARG0104_plantside,ARG0104_planttop,ARG0104_primarybranch,nan,ARG0104_leafstrip
ARG0105,nan,ARG0105_leafbottom,ARG0105_leaftop,ARG0105_plantside,ARG0105_planttop,ARG0105_primarybranch,nan,ARG0105_leafstrip
ARG0106,nan,ARG0106_leafbottom,ARG0106_leaftop,ARG0106_plantside,ARG0106_planttop,ARG0106_primarybranch,nan,ARG0106_leafstrip
ARG0107,nan,nan,nan,ARG0107_plantside,ARG0107_planttop,ARG0107_primarybranch,nan,nan
