Plant ID;Genotype ID;TLN;LIR;Days to budding;DTF;Stem diameter at flowering;Plant height at flowering;Peduncle length of first flower;Internode length;Stem diameter final before 1st node;Stem diameter final after 5th node;Distance of first branching from ground;Primary branches;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Disk diameter;Ligule length;Ligule width;Flower head diameter;Ligule LW ratio;Flower FHDD ratio;Ligules number;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue;Seed perimeter;Seed area;Seed width mid height;Seed maximum width;Seed height mid width;Seed maximum height;Seed curved height;Seed HW ratio;Seed shape index external I;Seed shape index external II;Seed curved shape index;Seed ellipsoid;Seed circular;Seed rectangular;Seed ovoid;Seed width widest pos;Seed eccentricity;Seed proximal eccentricity;Seed distal eccentricity;Seed shape index internal;Seed eccentricity area index
PET0321;PET0321;18;0,72;25;50;22,2;94,4;31,3;4,968421053;34,9;26,1;2;19;25,04823537;6,71607067;41,47470516;6,175442039;2,472269212;4,670542844;1,455727257;11,71713198;3,21413109;4,754397246;19,66666667;316,5566;5523,1359;69,4267;83,058;98,6367;103,886;105,1079;1,265475932;1,2508;1,4207;1,5176;0,0966;0,1086;0,362;0,4314;0,7001;0,7586;0,8942;0,8891;1,4177;0,3781;198,407;0,449036576;0,325971362;0,224992062;11,9184125;7,675725;2,2066375;2,38655;4,2465625;4,278325;4,4642625;1,870592487;1,7955375;1,928575;2,0018125;0,06345;0,1957;0,4580375;0,3306625;0,33955;0,7169;0,877025;0,8037375;1,75265;0,4521
PET0322;PET0322;18;0,72;25;51;21,9;130,3;25,8;7,664705882;39;26;1,2;19;24,42037446;6,737134959;39,58750116;5,87601427;2,476870337;3,836430867;1,156071426;10,39843742;3,311859464;4,1993679;16;352,8927;5086,764;49,022;69,7653;129,7093;132,5033;132,4255;1,898157107;1,8993;2,6459;2,706;0,11;0,2513;0,2757;0,3812;0,7231;0,6381;0,7221;0,8919;2,0367;0,4587;194,671;0,452450545;0,328934459;0,218614997;11,653325;7,3921375;2,2106;2,422275;4,0296;4,0759;4,3180125;1,782626869;1,6818875;1,8234;1,9236375;0,0684125;0,1791375;0,4596125;0,36195;0,3112875;0,677775;0,87485;0,7592625;1,599325;0,492225
PET0323;PET0323;17;0,62962963;27;53;27;142,8;46,5;NA;38,1;28,6;3,2;NA;40,73415026;6,408155237;42,18263305;6,582648437;3,037502965;4,700898244;1,627469279;12,10509787;2,894548305;3,987111508;17,33333333;360,9727;4635,5463;48,4293;55,9647;120,9887;137,7527;135,5663;2,422353734;2,4614;2,4983;2,6666;0,0881;0,2873;0,3179;0,2826;0,69;0,4982;0,5969;0,824;1,6531;0,5179;160,765;0,442459491;0,312057973;0,245482537;10,8651625;6,3623;1,8785375;2,0333125;4,1156125;4,146025;4,2867125;2,108240863;2,042925;2,1948125;2,2234;0,0675875;0,232;0,4651375;0,3281875;0,332975;0,7519875;0,885125;0,84145;2,0752375;0,4228875
PET0324;PET0324;18;0,666666667;27;50;24,3;137,3;20,3;6,538095238;31,4;26,2;0,5;17;26,47576946;5,900637042;41,54271767;7,040378415;3,048832699;4,459321721;1,217521665;12,01685185;3,659734316;3,941787914;20,33333333;290,6627;4421,4535;60,6213;73,406;103,0393;104,14;105,0524;1,431114623;1,4187;1,6997;1,7353;0,0989;0,1493;0,2896;0,3172;0,6504;0,7648;0,8927;0,8577;1,5986;0,2962;200,681;0,437834175;0,32583553;0,236330295;12,4699875;8,1316875;2,0412625;2,215875;4,800875;4,847175;4,961925;2,239262142;2,188425;2,3527;2,4155625;0,0687875;0,249925;0,4698;0,3138375;0,31465;0,7811625;0,882475;0,8807625;2,33095;0,4075125
PET0325;PET0325;16;0,421052632;38;66;29,6;161,9;35,7;8,994444444;24,2;23,2;0,6;16;21,87758228;6,761727023;40,65466742;6,01246801;2,779388832;5,374281641;1,790656033;13,2851883;3,001266124;4,786041389;14,33333333;284,0592;3629,4909;36,83;51,9853;105,0713;110,8287;110,3133;2,122009491;2,1319;2,8529;2,9883;0,1109;0,2942;0,3622;0,5334;0,793;0,7584;0,9262;0,8857;2,8671;0,4676;157,315;0,481670534;0,317668372;0,200661094;11,56545;6,7669125;1,8692875;2,1166875;4,250525;4,353725;4,5099875;2,130681785;2,0598;2,2767125;2,3586;0,0771625;0,2431125;0,44345;0,418775;0,2877125;0,7274375;0,8873375;0,82225;2,122725;0,454375
PET0326;PET0326;15;0,535714286;28;50;16,8;89,2;27;4,955555556;28;25,1;4,1;13;19,02237313;6,859655491;41,02418351;5,980502018;2,774832171;4,30816665;1,77765047;11,38759356;2,421846437;4,116780747;18;302,1961;3808,2791;36,7453;54,6947;114,2153;115,4853;118,0765;2,158828918;2,1115;3,1083;3,2357;0,1082;0,2951;0,3433;0,4431;0,7713;0,7909;0,8953;0,8887;3,1156;0,4486;185,867;0,448164548;0,332361312;0,21947414;9,8027625;5,79765;2,04525;2,1775375;3,4594375;3,481925;3,629;1,666561425;1,6037125;1,695625;1,7070125;0,06015;0,15935;0,474025;0,3436625;0,326525;0,7725375;0,8901;0,86045;1,66095;0,4124125
PET0327;PET0327;23;0,696969697;33;59;23,6;130,1;18,5;10,00769231;26,9;21,8;4,9;25;15,61623982;4,869771816;41,779301;8,579313894;3,259368707;4,866822277;1,3822559;12,80811717;3,517543721;3,927592131;19;294,4584;3184,1513;38,1847;49,3607;98,1287;112,6067;116,0638;2,351340236;2,2813;2,5698;2,647;0,1072;0,2829;0,2944;0,3632;0,6896;0,5523;0,7239;0,8833;1,9215;0,5042;161,533;0,443971201;0,322689481;0,233339318;10,6044625;6,372425;2,0372875;2,221175;3,831175;3,8960125;4,017225;1,808603554;1,7567375;1,8842375;1,95415;0,066575;0,1893;0,4527;0,361025;0,3187125;0,7572;0,8902875;0,8503375;1,8326;0,4168
PET0328;PET0328;18;0,545454545;33;58;20,6;102,6;23,5;6,035294118;32;19,6;0;20;21,0840652;4,688212477;41,09386762;8,765359467;2,835478892;4,044755032;1,570432811;10,59120982;2,610699985;3,735750519;20;300,7036;3556,8818;33,1047;52,4933;106,0873;119,2107;119,3876;2,274339773;2,271;3,2046;3,6625;0,1279;0,3181;0,2892;0,4808;0,7244;0,7107;0,8921;0,8857;3,2051;0,5061;192,758;0,462341381;0,325044875;0,212613744;11,127925;7,138075;2,2278125;2,3984375;3,843075;3,8893875;4,0689375;1,696495114;1,62195;1,7258;1,78465;0,0652875;0,1673;0,4777625;0,3518625;0,3231875;0,7784875;0,88875;0,873575;1,7167125;0,4154
PET0329;PET0329;17;0,62962963;27;50;35,1;112,7;48;4,025;62,1;37,9;2,5;15;18,1691229;6,948788452;40,9680884;5,895716739;2,808894906;4,618449631;1,599246224;11,49843603;2,919880896;4,108008722;15,33333333;281,1095;4109,8556;49,4453;61,722;95,4193;99,568;101,0909;1,63784226;1,6132;1,9298;2,0726;0,0923;0,1813;0,3992;0,4558;0,7092;0,7506;0,8707;0,8707;1,8223;0,4152;164,576;0,455108886;0,313958293;0,230932821;10,41395;6,3693;2,22515;2,3892;3,481925;3,5123375;3,6947875;1,546453834;1,4703875;1,5652375;1,6123125;0,0643125;0,1380375;0,46665;0,3295875;0,3411625;0,7557875;0,885925;0,843775;1,519375;0,4313625
PET0330;PET0330;20;0,714285714;28;58;40,4;138;13;8,625;62;44,5;1;19;20,92076011;6,458175241;42,01096112;6,505082249;3,014504475;4,07919308;1,145358118;11,16151266;3,563653803;3,702715972;17;330,1473;4500,0555;42,7567;63,4153;122,0893;125,3913;124,536;1,963816303;1,9773;2,8554;2,845;0,1166;0,2657;0,3105;0,4436;0,7448;0,7784;0,8903;0,8868;2,8657;0,4206;168,769;0,472592715;0,326535086;0,200872198;11,6525125;7,406075;2,087575;2,2542375;4,321975;4,35505;4,494025;1,99358985;1,9328125;2,0714375;2,0884625;0,0649375;0,2145375;0,4640125;0,3488;0,306275;0,7543125;0,8885375;0,8427125;1,9717;0,4226875
